우편번호|시도|시도영문|시군구|시군구영문|읍면|읍면영문|도로명코드|도로명|도로명영문|지하여부|건물번호본번|건물번호부번|건물관리번호|다량배달처명|시군구용건물명|법정동코드|법정동명|리명|행정동명|산여부|지번본번|읍면동일련번호|지번부번|구우편번호|우편번호일련번호
06325|서울특별시|Seoul|강남구|Gangnam-gu|||116804166470|선릉로14길|Seolleung-ro 14-gil|0|12|0|1168010300101700004019412||광학빌|1168010300|개포동||개포2동|0|170|01|4||
06307|서울특별시|Seoul|강남구|Gangnam-gu|||116804166164|논현로18길|Nonhyeon-ro 18-gil|0|10|13|1168010300102350016028157||광현빌라|1168010300|개포동||개포4동|0|1235|01|16||
06323|서울특별시|Seoul|강남구|Gangnam-gu|||116803122001|개포로|Gaepo-ro|1|403|0|1168010300101750003021083||구룡역|1168010300|개포동||개포2동|0|175|01|3||
06318|서울특별시|Seoul|강남구|Gangnam-gu|||116803122006|선릉로|Seolleung-ro|0|103|0|1168010300106500000019186||구룡중학교|1168010300|개포동||개포1동|0|650|02|0||
06305|서울특별시|Seoul|강남구|Gangnam-gu|||116803122001|개포로|Gaepo-ro|0|263|0|1168010300106550000019635||구룡초등학교|1168010300|개포동||개포4동|0|655|01|0||
06311|서울특별시|Seoul|강남구|Gangnam-gu|||116804166059|개포로28길|Gaepo-ro 28-gil|0|47|0|1168010300102710000020662||구민체육관|1168010300|개포동||개포4동|0|1271|01|0||
06306|서울특별시|Seoul|강남구|Gangnam-gu|||116804166061|개포로31길|Gaepo-ro 31-gil|0|23|3|1168010300112640004000001||골든강남빌|1168010300|개포동||개포4동|0|1264|01|4||
06306|서울특별시|Seoul|강남구|Gangnam-gu|||116804166061|개포로31길|Gaepo-ro 31-gil|0|29|4|1168010300112650002000001||골든뷰|1168010300|개포동||개포4동|0|1265|01|2||
06314|서울특별시|Seoul|강남구|Gangnam-gu|||116804166179|논현로4길|Nonhyeon-ro 4-gil|0|25|0|1168010300111730007000001||골든빌|1168010300|개포동||개포4동|0|1173|01|7||
06325|서울특별시|Seoul|강남구|Gangnam-gu|||116804166479|선릉로16길|Seolleung-ro 16-gil|0|10|0|1168010300101710002019383||삼흥빌라|1168010300|개포동||개포2동|0|171|01|2||
06325|서울특별시|Seoul|강남구|Gangnam-gu|||116804166479|선릉로16길|Seolleung-ro 16-gil|0|8|0|1168010300101710001019398||삼흥빌라|1168010300|개포동||개포2동|0|171|01|1||
06309|서울특별시|Seoul|강남구|Gangnam-gu|||116804166062|개포로32길|Gaepo-ro 32-gil|0|13|0|1168010300102090014028164||삼성파크빌|1168010300|개포동||개포4동|0|1209|01|14||
06309|서울특별시|Seoul|강남구|Gangnam-gu|||116804166062|개포로32길|Gaepo-ro 32-gil|0|15|0|1168010300102090020028165||삼성파크빌|1168010300|개포동||개포4동|0|1209|01|20||
06309|서울특별시|Seoul|강남구|Gangnam-gu|||116804166063|개포로34길|Gaepo-ro 34-gil|0|14|0|1168010300102090019021315||삼성파크빌|1168010300|개포동||개포4동|0|1209|01|19||
